plate_number,resident_name,unit,vehicle_color,status
0,Mia Shah,C-0804,black,active
03,Liam Clark,A-0102,black,active
1,Ava Kim,D-0808,blue,active
115,Ava Brown,D-1105,black,active
17216,Sophia Singh,A-1302,silver,active
470248570,Emma Patel,D-1802,gray,active
6OS5,Mason Taylor,B-0301,red,active
AFR2011,Mason Khan,B-0407,silver,active
B2228HM,Isla Brown,C-1204,red,active
BYHA1361,Liam Brown,B-0608,gray,active
CHO1ANOOOI,Lucas Davis,A-0801,green,active
CHO4AE801Z7,Emma Khan,B-1912,silver,active
CIL,Zara Ali,D-0505,black,active
CZI7KOD,Emma Clark,D-1204,black,active
DE1VD,Liam Patel,A-0511,black,active
DZI7YXR,Nora Khan,D-1310,gray,active
E,Ava Singh,C-1102,silver,active
FAST,Ryan Shah,C-1703,blue,inactive
GBI8TCE,Mason Kim,B-1203,blue,inactive
HCH3,Ava Davis,D-0102,silver,inactive
I3550,Mason Ahmed,A-0810,white,active
ITV24VVIJ,Zara Khan,B-0511,gray,inactive
L1,Olivia Miller,D-0709,green,active
LEFTTODIE,Aria Wilson,D-1208,blue,active
M,Lucas Ahmed,A-1101,blue,active
M771278,Lucas Shah,A-0204,white,inactive
MH20EE7598,Sophia Khan,B-0911,gray,active
MH20EJ0364,Ethan Lee,B-1607,black,active
MR516K,Nora Taylor,D-1408,green,active
MU6JGIY,Mia Patel,D-1102,black,active
PGBW12,Ryan Garcia,D-0605,gray,active
PU8BES,Liam Thomas,A-0211,blue,active
QHO1AV8866,Liam Ahmed,B-1408,gray,active
SHAKNBK,Leo Patel,B-1301,gray,active
TN19S4528,Ryan Wilson,D-1811,red,active
XK39S,Aria Wilson,B-0210,red,active
YNTZDBG,Sophia Patel,A-1908,blue,inactive
YSX213,Olivia Patel,A-0602,blue,active
